"facility_type","metric","age","frac","parm"
"Hospital","Screened for TB","0-4",1,"dh.screened"
"Hospital","Screened for TB","5-14",1,"dh.screened"
"Hospital","Presumptive TB","0-4",0.0407115349348982,"dh.prusumed"
"Hospital","Presumptive TB","5-14",0.100890314028268,"dh.prusumed"
"Hospital","Evaluated for TB","0-4",0.975975975975976,"dh.clinbac.assess"
"Hospital","Evaluated for TB","5-14",0.990411931818182,"dh.clinbac.assess"
"PHC","Screened for TB","0-4",1,"phc.screened"
"PHC","Screened for TB","5-14",1,"phc.screened"
"PHC","Presumptive TB","0-4",0.0252480484945529,"phc.prusumed"
"PHC","Presumptive TB","5-14",0.0924069418784263,"phc.prusumed"
"PHC","Evaluated for TB","0-4",0.993204983012458,"phc.clinbac.assess"
"PHC","Evaluated for TB","5-14",0.998361193051459,"phc.clinbac.assess"
