levelName,p,cost,deaths,lives,refers,dxc,dxb,att,check,DH.presumptive,DH.evaluated,DH.treated,PHC.presumptive,PHC.evaluated,PHC.treated
Standard of care                                                                 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦--Present at hospital                                                          ,dh.presented ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦--TB screening                                                             ,dh.screened,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦--Presumptive TB at hospital                                           ,dh.presumed,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ¦   ¦   ¦   ¦--Clinical & or bacteriological assessment                         ,int.dh.clinbac.assess,c.int.dh.clinbac.assess,0,0,0,0,0,0,0,0,1,0,0,0,0
 ¦   ¦   ¦   ¦   ¦--TB diagnosed (bacteriological)                               ,int.dh.bact.tbdx,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦--RifS-TB diagnosed                                        ,1-p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   ¦--RifS-TB treatment                                    ,1-dh.ptltfu,c.dh.rs.att,0,0,0,0,0,1,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   ¦   ¦--Survives                                         ,1-cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   ¦   °--Dies                                             ,cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   °--No TB treatment                                      ,dh.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦       ¦--Survives                                         ,1-cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦       °--Dies                                             ,cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   °--RifR-TB diagnosed                                        ,p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦       ¦--RifR-TB treatment                                    ,1-dh.ptltfu,c.dh.rr.att,0,0,0,0,0,1,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦       ¦   ¦--Survives                                         ,1-cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦       ¦   °--Dies                                             ,cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦       °--No TB treatment                                      ,dh.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦           ¦--Survives                                         ,1-cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦           °--Dies                                             ,cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦--TB diagnosed (clinical)                                      ,int.dh.test.ptbc*(1-int.dh.bact.tbdx),0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦--RifS-TB treatment                                        ,1-dh.ptltfu,c.dh.rs.att,0,0,0,0,0,1,0,0,0,1,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   ¦--Survives                                             ,1-cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   °--Dies                                                 ,cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
