levelName,p,cost,notx,attend,check
Standard of care                                                                 ,1,0,0,0,0
 ¦--Present at hospital                                                          ,dh.presented,0,0,0,0
 ¦   °--TB screening                                                             ,dh.screened,0,0,0,0
 ¦       °--Presumptive TB at hospital                                           ,dh.presumed,0,0,0,0
 ¦           ¦--Clinical exam only                                               ,1-soc.dh.test,cost.dh.examCXR,0,0,0
 ¦           ¦   ¦--TB diagnosed (clinical)                                      ,soc.dh.notest.ptbc,0,0,0,0
 ¦           ¦   ¦   °--RifS-TB treatment                                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦           ¦   ¦       ¦--Survives                                             ,1-cfr.tx,0,0,1,1
 ¦           ¦   ¦       °--Dies                                                 ,cfr.tx,0,0,1,1
 ¦           ¦   °--No TB diagnosed                                              ,1-soc.dh.notest.ptbc,0,0,0,0
 ¦           ¦       °--Reassessment                                             ,1-dh.14dhltfu,0,0,0,0
 ¦           ¦           °--Clinical exam only                                   ,1,cost.dh.examCXR,0,0,0
 ¦           ¦               °--TB diagnosed (clinical)                          ,soc.dh.notest.ptbc,0,0,0,0
 ¦           ¦                   °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦           ¦                       ¦--Survives                                 ,1-cfr.tx,0,0,1,1
 ¦           ¦                       °--Dies                                     ,cfr.tx,0,0,1,1
 ¦           ¦--Clinical exam + Xpert Ultra                                      ,soc.dh.test*soc.dh.fracUltra,cost.Xpert,0,0,0
 ¦           ¦   ¦--TB diagnosed (bacteriological)                               ,soc.dh.ptbxUltra,0,0,0,0
 ¦           ¦   ¦   ¦--RifS-TB diagnosed                                        ,1-prr,0,0,0,0
 ¦           ¦   ¦   ¦   °--RifS-TB treatment                                    ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦           ¦   ¦   ¦       ¦--Survives                                         ,1-cfr.tx,0,0,1,1
 ¦           ¦   ¦   ¦       °--Dies                                             ,cfr.tx,0,0,1,1
 ¦           ¦   ¦   °--RifR-TB diagnosed                                        ,prr,0,0,0,0
 ¦           ¦   ¦       °--RifR-TB treatment                                    ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
 ¦           ¦   ¦           ¦--Survives                                         ,1-cfr.tx,0,0,1,1
 ¦           ¦   ¦           °--Dies                                             ,cfr.tx,0,0,1,1
 ¦           ¦   ¦--TB diagnosed (clinical)                                      ,soc.dh.test*(1-soc.dh.ptbxUltra),0,0,0,0
 ¦           ¦   ¦   °--RifS-TB treatment                                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦           ¦   ¦       ¦--Survives                                             ,1-cfr.tx,0,0,1,1
 ¦           ¦   ¦       °--Dies                                                 ,cfr.tx,0,0,1,1
 ¦           ¦   °--No TB diagnosed                                              ,(1-soc.dh.test)*(1-soc.dh.ptbxUltra),0,0,0,0
 ¦           ¦       °--Reassessment                                             ,1-dh.14dhltfu,0,0,0,0
 ¦           ¦           °--Clinical & or bacteriological assessment*            ,1,cost.dh.examCXR,0,0,0
 ¦           ¦               ¦--TB diagnosed (bacteriological)                   ,soc.dh.bact.tbdx,cost.Xpert,0,0,0
 ¦           ¦               ¦   ¦--RifS-TB diagnosed                            ,1-prr,0,0,0,0
 ¦           ¦               ¦   ¦   °--RifS-TB treatment                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦           ¦               ¦   ¦       ¦--Survives                             ,1-cfr.tx,0,0,1,1
 ¦           ¦               ¦   ¦       °--Dies                                 ,cfr.tx,0,0,1,1
 ¦           ¦               ¦   °--RifR-TB diagnosed                            ,prr,0,0,0,0
 ¦           ¦               ¦       °--RifR-TB treatment                        ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
 ¦           ¦               ¦           ¦--Survives                             ,1-cfr.tx,0,0,1,1
 ¦           ¦               ¦           °--Dies                                 ,cfr.tx,0,0,1,1
 ¦           ¦               °--TB diagnosed (clinical)                          ,soc.dh.test*(1-soc.dh.bact.tbdx),0,0,0,0
 ¦           ¦                   °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦           ¦                       ¦--Survives                                 ,1-cfr.tx,0,0,1,1
 ¦           ¦                       °--Dies                                     ,cfr.tx,0,0,1,1
 ¦           °--Clinical exam + TrueNat                                          ,soc.dh.test*(1-soc.dh.fracUltra),cost.Truenat,0,0,0
 ¦               ¦--TB diagnosed (bacteriological)                               ,soc.dh.ptbxTrueNat,0,0,0,0
 ¦               ¦   ¦--RifS-TB diagnosed                                        ,1-prr,0,0,0,0
 ¦               ¦   ¦   °--RifS-TB treatment                                    ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦               ¦   ¦       ¦--Survives                                         ,1-cfr.tx,0,0,1,1
 ¦               ¦   ¦       °--Dies                                             ,cfr.tx,0,0,1,1
 ¦               ¦   °--RifR-TB diagnosed                                        ,prr,0,0,0,0
 ¦               ¦       °--RifR-TB treatment                                    ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
 ¦               ¦           ¦--Survives                                         ,1-cfr.tx,0,0,1,1
 ¦               ¦           °--Dies                                             ,cfr.tx,0,0,1,1
 ¦               ¦--TB diagnosed (clinical)                                      ,soc.dh.test*(1-soc.dh.ptbxTrueNat),0,0,0,0
 ¦               ¦   °--RifS-TB treatment                                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦               ¦       ¦--Survives                                             ,1-cfr.tx,0,0,1,1
 ¦               ¦       °--Dies                                                 ,cfr.tx,0,0,1,1
 ¦               °--No TB diagnosed                                              ,(1-soc.dh.test)*(1-soc.dh.ptbxTrueNat),0,0,0,0
 ¦                   °--Reassessment                                             ,1-dh.14dhltfu,0,0,0,0
 ¦                       °--Clinical & or bacteriological assessment*            ,1,cost.dh.examCXR,0,0,0
 ¦                           ¦--TB diagnosed (bacteriological)                   ,soc.dh.bact.tbdx,cost.Truenat,0,0,0
 ¦                           ¦   ¦--RifS-TB diagnosed                            ,1-prr,0,0,0,0
 ¦                           ¦   ¦   °--RifS-TB treatment                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦                           ¦   ¦       ¦--Survives                             ,1-cfr.tx,0,0,1,1
 ¦                           ¦   ¦       °--Dies                                 ,cfr.tx,0,0,1,1
 ¦                           ¦   °--RifR-TB diagnosed                            ,prr,0,0,0,0
 ¦                           ¦       °--RifR-TB treatment                        ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
 ¦                           ¦           ¦--Survives                             ,1-cfr.tx,0,0,1,1
 ¦                           ¦           °--Dies                                 ,cfr.tx,0,0,1,1
