levelName,p,cost,deaths,lives,refers,dxc,dxb,att,check,DH.presumptive,DH.evaluated,DH.treated,PHC.presumptive,PHC.evaluated,PHC.treated
Standard of care                                                             ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦--Present at hospital                                                      ,dh.presented,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦--TB screening                                                         ,dh.screened,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦--Presumptive TB at hospital                                       ,dh.presumed,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ¦   ¦   ¦   ¦--Clinical exam only                                           ,soc.dh.clinbac.assess,c.soc.dh.clinbac.assess,0,0,0,0,0,0,0,0,1,0,0,0,0
 ¦   ¦   ¦   ¦   ¦--TB diagnosed (clinical)                                  ,soc.dh.bact.tbdx,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦--RifS-TB treatment                                    ,1-prr,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   ¦--Survives                                         ,1-dh.ptltfu,c.dh.rs.att,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   ¦   °--Dies                                             ,1-cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦   °--No TB treatment                                      ,cfr.tx,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦       ¦--Survives                                         ,dh.ptltfu,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   ¦       °--Dies                                             ,1-cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦   °--No TB diagnosed                                          ,cfr.notx,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦--Reassessment                                         ,prr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦   °--Clinical & or bacteriological assessment*        ,1-dh.ptltfu,c.dh.rr.att,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦--TB diagnosed (bacteriological)               ,1-cfr.tx,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   ¦--RifS-TB diagnosed                        ,cfr.tx,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦--RifS-TB treatment                    ,dh.ptltfu,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦   ¦--Survives                         ,1-cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦   °--Dies                             ,cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   ¦   °--No TB treatment                      ,soc.dh.test.ptbc*(1-soc.dh.bact.tbdx),0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   ¦       ¦--Survives                         ,1-dh.ptltfu,c.dh.rs.att,0,1,0,0,0,0,1,0,0,1,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   ¦       °--Dies                             ,1-cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦   ¦       ¦       ¦   °--RifR-TB diagnosed                        ,cfr.tx,0,0,0,0,0,0,0,0,0,0,0,0,0,0
