NAME,DISTRIBUTION,DESCRIPTION,SOURCE,MEAN (IQR),,,,,,
ontxY,"LN( -3.963316,0.6457913)",CFR children <5 years on TB treatment,Jenkins et al 2017,0.019 (0.012 - 0.029),,,,,,
ontxO,"LN(-4.828314,0.4817445)",CFR children  5-14 years on TB treatment,Jenkins et al 2017,0.008 (0.006 - 0.011),,,,,,
hivartOR:mn,"MVN: [2.6375681, -0.5683867]","ORs of death on TB treatment, (OR HIV+ vs -) x (ART -/+): mean","Jenkins et al 2017, Dodd et al 2017",,,,,,,
hivartOR:sg,"MVN: [[0.2325509,-0.2325509],[-0.2325509,0.6367345]]","ORs of death on TB treatment, (OR HIV+ vs -) x (ART -/+): variance","Jenkins et al 2017, Dodd et al 2017",,,,,,,
notxY,"LN(-0.830113,0.08035318)",CFR children <5 years without TB treatment,Jenkins et al 2017,0.436 (0.413 - 0.460),,,,,,
notxO,"LN(-1.903809,0.1285165)",CFR children 5-14 years without TB treatment,Jenkins et al 2017,0.149 (0.137 - 0.162),,,,,,
notxHAY,"B(15.18683,12.87500)",CFR children <5 years without TB treatment (HIV+/ART+),Dodd et al 2017,0.542 (0.478 - 0.605),,,,,,
notxHAO,"B(10.43383,11.08417)",CFR children 5-14 years without TB treatment (HIV+/ART+),Dodd et al 2017,0.484 (0.412 - 0.558),,,,,,
hivpi,"LN(2.066863,0.2800718)",IRR for TB incidence given HIV+/ART- (for individuals),Dodd et al 2017,7.900 (6.540 - 9.543),,,,,,
artp,"LN(-1.203973,0.150482)",HR for TB incidence given HIV+/ART+ vs HIV+/ART-,Dodd et al 2016,0.300 (0.271 - 0.332),,,,,,
HHhivprev04,"B(44.0506,1791.391)",Prevalence of HIV in children aged 0–4 years ,Odafe et al 2020,0.024 (0.018 - 0.032),,,,,,
HHhivprev514,"B(44.0506,1791.391)",Prevalence of HIV in children aged 5–14 years ,Odafe et al 2020,0.024 (0.018 - 0.032),,,,,,
