"facility_type","metric","age","frac","parm"
"Hospital","Screened for TB","0-4",1,"dh.screened"
"Hospital","Screened for TB","5-14",1,"dh.screened"
"Hospital","Presumptive TB","0-4",0.0407115349348982,"dh.presumed"
"Hospital","Presumptive TB","5-14",0.100890314028268,"dh.presumed"
"Hospital","Evaluated for TB","0-4",0.975975975975976,"dh.clinbac.assess"
"Hospital","Evaluated for TB","5-14",0.990411931818182,"dh.clinbac.assess"
"PHC","Screened for TB","0-4",1,"phc.screened"
"PHC","Screened for TB","5-14",1,"phc.screened"
"PHC","Presumptive TB","0-4",0.0252480484945529,"phc.presumed"
"PHC","Presumptive TB","5-14",0.0924069418784263,"phc.presumed"
"PHC","Evaluated for TB","0-4",0.993204983012458,"phc.clinbac.assess"
"PHC","Evaluated for TB","5-14",0.998361193051459,"phc.clinbac.assess"
"Hospital","Started on treatment","0-4",0.97907949790795,"u5.dh.att"
"Hospital","Started on treatment","5-14",0.962962962962963,"o5.dh.att"
"PHC","Started on treatment","0-4",0.931818181818182,"u5.phc.att"
"PHC","Started on treatment","5-14",0.983240223463687,"o5.phc.att"
"Hospital","GeneXpert","0-4",0.78,"dh.fracUltra"
"Hospital","GeneXpert","5-14",0.857475797776981,"dh.fracUltra"
"Hospital","Truenat","0-4",0,"dh.fracTrueNat"
"Hospital","Truenat","5-14",0.00860523485120115,"dh.fracTrueNat"
"Hospital","TB LAMP","0-4",0.0146153846153846,"dh.fracTBLamp"
"Hospital","TB LAMP","5-14",0.0389028325564719,"dh.fracTBLamp"
"Hospital","Chest Xray","0-4",0.201153846153846,"u5.dh.p.xray"
"Hospital","Chest Xray","5-14",0.0937612047328792,"o5.dh.p.xray"
"PHC","GeneXpert","0-4",0.93842645381984,"phc.fracUltra"
"PHC","GeneXpert","5-14",0.977019041365726,"phc.fracUltra"
"PHC","Truenat","0-4",0,"phc.fracTrueNat"
"PHC","Truenat","5-14",0.000984898227183191,"phc.fracTrueNat"
"PHC","TB LAMP","0-4",0.00456100342075257,"phc.fracTBLamp"
"PHC","TB LAMP","5-14",0.0131319763624425,"phc.fracTBLamp"
"PHC","Chest Xray","0-4",0.0456100342075257,"u5.phc.p.xray"
"PHC","Chest Xray","5-14",0.00787918581746553,"o5.phc.p.xray"
"Hospital","DR-TB","0-4",0.0275229357798165,"dh.prr"
"Hospital","DR-TB","5-14",0.0242424242424242,"dh.prr"
"PHC","DR-TB","0-4",0.04,"phc.prr"
"PHC","DR-TB","5-14",0.0121951219512195,"phc.prr"
"Hospital","Target population","0-14",0.640737863872464,"dh.presented"
"PHC","Target population","0-14",0.359262136127536,"phc.presented"
"Hospital","Target population","0-4",0.539638294889451,"dh.fracY"
"Hospital","Target population","5-14",0.460361705110548,"dh.fracO"
"PHC","Target population","0-4",0.514384468304162,"phc.fracY"
"PHC","Target population","5-14",0.485615531695838,"phc.fracO"
