Quantity per 100 children with presumptive TB (unless stated),Standard of care,Intervention,Increment
Assessments,95 (81 - 109),83 (72 - 94),-13 (-26 - -2)
Percent assessments at PHC,35 (16 - 48),46 (20 - 65),11 (3 - 20)
Bacteriological assessments,8 (3 - 14),25 (14 - 34),17 (7 - 26)
Percent bacteriological assessments at PHC,14 (3 - 32),79 (51 - 93),65 (44 - 77)
Referrals to hospital,18 (5 - 27),7 (2 - 13),-11 (-19 - -3)
Anti-tuberculosis treatments (ATT),24 (19 - 30),32 (23 - 39),7 (1 - 15)
Percent ATT initiated at PHC,38 (19 - 57),39 (19 - 66),1 (-36 - 46)
Percent Percent of true TB receiving ATT,77 (70 - 82),77 (70 - 84),0 (-4 - 6)
Percent of ATT bacteriologically confirmed,2 (1 - 4),8 (5 - 10),5 (2 - 8)
Percent of ATT false-positive,31 (17 - 49),45 (25 - 67),15 (2 - 26)
Tuberculosis diagnoses,25 (19 - 31),32 (24 - 40),7 (1 - 15)
Percent of TB at PHC,37 (19 - 56),61 (34 - 81),24 (9 - 37)
Percent of TB bacteriologically confirmed,3 (1 - 5),8 (5 - 10),5 (2 - 7)
Deaths,5 (4 - 7),4 (3 - 6),-1 (-2 - 0)
Life-years lost,138 (107 - 178),109 (77 - 148),-29 (-57 - -4)
Cost (2024 US$),10225 (5302 - 17676),12654 (6321 - 22729),2429 (-889 - 8638)
ICER (Cost per DALY averted),,,85
