Quantity per 100 children with presumptive TB (unless stated),Standard of care,Intervention,Increment
Assessments,89 (75 - 102),68 (55 - 83),-21 (-37 - -6)
Percent assessments at PHC,46 (36 - 56),67 (50 - 82),21 (11 - 33)
Bacteriological assessments,2 (1 - 5),27 (16 - 38),25 (13 - 36)
Percent bacteriological assessments at PHC,77 (48 - 93),99 (97 - 100),22 (6 - 52)
Referrals to hospital,22 (14 - 30),7 (2 - 15),-15 (-23 - -7)
Anti-tuberculosis treatments (ATT),17 (13 - 21),29 (20 - 37),12 (4 - 21)
Percent ATT initiated at PHC,53 (36 - 65),15 (4 - 34),-38 (-57 - -2)
Percent Percent of true TB receiving ATT,79 (72 - 85),82 (73 - 90),3 (-5 - 12)
Percent of ATT bacteriologically confirmed,2 (1 - 4),9 (6 - 11),7 (4 - 10)
Percent of ATT false-positive,41 (27 - 58),64 (48 - 79),23 (13 - 31)
Tuberculosis diagnoses,18 (14 - 22),31 (22 - 40),14 (4 - 23)
Percent of TB at PHC,54 (37 - 66),86 (67 - 96),32 (18 - 42)
Percent of TB bacteriologically confirmed,2 (1 - 4),9 (6 - 11),7 (4 - 10)
Deaths,14 (11 - 16),9 (5 - 12),-5 (-9 - -2)
Life-years lost,344 (285 - 413),215 (126 - 313),-129 (-226 - -41)
Cost (2024 US$),3315 (2392 - 4505),5904 (3943 - 8277),2588 (889 - 4738)
ICER (Cost per DALY averted),,,20
